pid,vscore,ascore,twinscore
P001,0.932244008714597,1.2163398692810459,0.764488017429194
P002,2.9135076252723313,3.127668845315904,1.8233115468409586
P003,2.0633986928104573,2.2032679738562093,1.2296296296296296
P004,2.4479302832244008,2.565141612200436,1.8368191721132896
P005,1.876688453159041,1.6196078431372551,1.0004357298474944
P007,3.1130718954248366,2.920479302832244,1.3145969498910675
P008,1.4932461873638343,0.3668845315904139,1.4936819172113287
P010,1.1557734204793029,0.8745098039215686,0.7845315904139433
P011,1.5531590413943355,0.6313725490196078,0.6494553376906318
P012,1.9694989106753813,1.7564270152505448,1.2801742919389978
P013,1.9023965141612198,2.227886710239652,1.1851851851851851
P014,1.1568627450980393,0.738562091503268,1.090631808278867
P015,1.366884531590414,0.12331154684095857,0.10348583877995644
P016,1.6864923747276686,2.4004357298474943,1.5501089324618738
P017,0.7956427015250545,2.1962962962962957,1.7217864923747275
P018,1.214161220043573,0.34923747276688455,0.7967320261437909
P019,1.4564270152505445,2.493899782135076,1.7742919389978211
P020,2.99520697167756,3.087145969498909,1.451416122004357
P022,2.8934640522875816,3.0372549019607846,1.5904139433551197
